symbol,time,open,high,low,close,tick_volume,spread,real_volume
EURUSD,2025.09.16 04:00:00,1.17614,1.17688,1.17574,1.17670,2363,11,0
EURUSD,2025.09.16 05:00:00,1.17670,1.17770,1.17668,1.17761,2127,11,0
EURUSD,2025.09.16 06:00:00,1.17762,1.17863,1.17737,1.17796,1903,11,0
EURUSD,2025.09.16 07:00:00,1.17797,1.17798,1.17734,1.17762,1872,11,0
EURUSD,2025.09.16 08:00:00,1.17762,1.17797,1.17731,1.17776,1900,11,0
EURUSD,2025.09.16 09:00:00,1.17776,1.17907,1.17773,1.17868,3778,11,0
EURUSD,2025.09.16 10:00:00,1.17868,1.18013,1.17858,1.17938,4035,11,0
EURUSD,2025.09.16 11:00:00,1.17938,1.18031,1.17895,1.17944,3701,11,0
EURUSD,2025.09.16 12:00:00,1.17947,1.18175,1.17945,1.18135,4190,11,0
EURUSD,2025.09.16 13:00:00,1.18136,1.18150,1.18035,1.18076,3684,11,0
EURUSD,2025.09.16 14:00:00,1.18078,1.18208,1.18007,1.18135,4156,11,0
EURUSD,2025.09.16 15:00:00,1.18135,1.18148,1.17874,1.18041,7087,11,0
EURUSD,2025.09.16 16:00:00,1.18043,1.18266,1.18037,1.18234,6481,11,0
EURUSD,2025.09.16 17:00:00,1.18234,1.18526,1.18207,1.18511,8107,11,0
EURUSD,2025.09.16 18:00:00,1.18511,1.18527,1.18345,1.18467,4993,11,0
EURUSD,2025.09.16 19:00:00,1.18467,1.18712,1.18459,1.18640,3791,11,0
EURUSD,2025.09.16 20:00:00,1.18639,1.18778,1.18630,1.18655,3592,11,0
EURUSD,2025.09.16 21:00:00,1.18655,1.18705,1.18608,1.18661,2545,11,0
EURUSD,2025.09.16 22:00:00,1.18661,1.18684,1.18575,1.18598,2314,11,0
EURUSD,2025.09.16 23:00:00,1.18596,1.18678,1.18577,1.18664,1839,11,0
EURUSD,2025.09.17 00:00:00,1.18641,1.18641,1.18511,1.18606,785,43,0
EURUSD,2025.09.17 01:00:00,1.18594,1.18678,1.18594,1.18654,883,12,0
EURUSD,2025.09.17 02:00:00,1.18658,1.18723,1.18651,1.18704,931,11,0
EURUSD,2025.09.17 03:00:00,1.18704,1.18724,1.18574,1.18577,2699,11,0
EURUSD,2025.09.17 04:00:00,1.18577,1.18587,1.18517,1.18553,2419,11,0
EURUSD,2025.09.17 05:00:00,1.18553,1.18574,1.18507,1.18549,1663,11,0
EURUSD,2025.09.17 06:00:00,1.18548,1.18572,1.18509,1.18515,1245,11,0
EURUSD,2025.09.17 07:00:00,1.18515,1.18546,1.18507,1.18534,1168,11,0
EURUSD,2025.09.17 08:00:00,1.18534,1.18590,1.18534,1.18574,1281,11,0
EURUSD,2025.09.17 09:00:00,1.18580,1.18585,1.18509,1.18554,3477,11,0
EURUSD,2025.09.17 10:00:00,1.18554,1.18555,1.18375,1.18399,3815,11,0
EURUSD,2025.09.17 11:00:00,1.18400,1.18507,1.18392,1.18477,3016,11,0
EURUSD,2025.09.17 12:00:00,1.18478,1.18492,1.18406,1.18451,2460,11,0
EURUSD,2025.09.17 13:00:00,1.18451,1.18462,1.18322,1.18357,2773,11,0
EURUSD,2025.09.17 14:00:00,1.18357,1.18455,1.18343,1.18385,2698,11,0
EURUSD,2025.09.17 15:00:00,1.18386,1.18445,1.18335,1.18429,3082,11,0
